DAT	W	Wroot	OMN	OMS	Tsoil	Eh	Com	Cr	P	FEh	Ebl	Ep	E
205.0	331.0026854501279	34.10016756440211	146.3120011077296	128.71589952055595	7.212000000000001	123.61274033860695	0.3484284372847469	2.5413349060236086	0.0067600650072185695	0.04500667843736573	0.000274172301518959	0.003314484916750859	0.0035886572182698183
206.0	347.499312764537	35.67778048017351	145.93989535533802	128.6795267720055	8.732	116.08204552660706	0.4084785009420289	2.7006290979302006	0.008860858745620726	0.04901658758726128	0.00037673313630312425	0.004312581776206308	0.004689314912509432
207.0	364.2902193476711	37.27818747556711	145.57595123913927	128.64387118277978	10.100000000000001	108.94936762213288	0.39959970542448425	2.8647181138408206	0.0103514412847568	0.05314349879607491	0.0004495028700683176	0.004999211267022423	0.005448714137090741
208.0	381.3308278945302	38.89715049366214	145.09292839717094	128.59644429535504	11.696	102.18790690510652	0.5304497293930808	3.0331919904807356	0.014507763881983552	0.05737597532650117	0.000642070718817849	0.006949931025161284	0.007592001743979133
209.0	398.5736837521473	40.53020884907039	144.55333130767494	128.54330573265148	13.520000000000001	95.7729632682358	0.5927356521995776	3.205592259958908	0.01861017934629805	0.06170274145550211	0.0008370262924135045	0.008839913132435822	0.009676939424849327
210.0	415.9689543187859	42.17272637565071	143.8642009224344	128.4752162162554	14.812	89.68180427304877	0.757219901636595	3.381416388140214	0.024895491953571762	0.06611274202698836	0.0011138234753401074	0.011721197212146768	0.012835020687486876
211.0	433.4649869126304	43.819943034870164	142.72456580459402	128.36213513992448	20.284	83.89353422309645	1.2527161941713085	3.560123255723214	0.04721399181274247	0.07059518147589752	0.0022700700787413107	0.022024750841500438	0.02429482092024175
212.0	451.0089123549485	45.467029799182285	142.249260716607	128.31463792379824	11.848	78.38896458515677	0.5228023041132345	3.7411395656108857	0.020938000955033592	0.07513954717300012	0.0007969169866644914	0.00967384269899732	0.010470759685661812
213.0	468.5472795649215	47.109145480846564	141.91071238726008	128.28070632288788	9.948	73.15048633271734	0.37247993025730014	3.9238670220839764	0.017351669155741583	0.07973562175028516	0.0005923321505271564	0.00793711889003279	0.008529451040559946
214.0	486.0267051167739	48.74149408706489	141.51560254685143	128.24102176932433	11.848	68.16194497121252	0.4347943939721879	4.107690095305773	0.022642856091953614	0.08437348858579947	0.0008039088724139314	0.010250504926532693	0.011054413798946625
215.0	503.394521053072	50.3593812532697	140.96073737043784	128.18515319300806	13.14	63.408519121397795	0.6107337527298643	4.291984160831145	0.030871283378073537	0.0890435339465454	0.001105251322172105	0.013826000608526281	0.014931251930698386
216.0	520.5994043248313	51.95826834006334	140.52564549110014	128.14119113327558	11.848	58.87660358169502	0.47905393907018284	4.476123789560004	0.027544991420291032	0.09373644849881282	0.0009174077951029794	0.012199697761806096	0.013117105556909075
217.0	537.5919720342756	53.53382287375018	140.1102395904021	128.09910264573122	11.24	54.55369776432182	0.4574943882423874	4.659490959801865	0.027929212986857094	0.09844323007909946	0.0008835890178540792	0.012228358206128026	0.013111947223982106
